key,value,year
Korea,1.4,2007
Luxembourg,0,1971
Luxembourg,0.2,1972
Luxembourg,0,1973
Luxembourg,0.2,1974
Luxembourg,0.3,1975
Luxembourg,0,1976
Luxembourg,0.8,1977
Luxembourg,0.7,1978
Luxembourg,0.8,1979
Luxembourg,0.8,1980
Luxembourg,1,1981
Luxembourg,1,1982
Luxembourg,1.1,1983
Luxembourg,1,1984
Luxembourg,1,1985
Luxembourg,1,1986
Luxembourg,1,1987
Luxembourg,1.3,1988
Luxembourg,1.2,1989
Luxembourg,0.9,1990
Luxembourg,1.1,1991
Luxembourg,1.4,1992
Luxembourg,1.3,1993
Luxembourg,1.4,1994
Luxembourg,1.6,1995
Luxembourg,1.3,1996
Luxembourg,1.6,1997
Luxembourg,1.7,1998
Luxembourg,1.6,1999
Luxembourg,1.5,2000
Luxembourg,1.7,2001
Luxembourg,1.4,2002
Luxembourg,1.6,2003
Luxembourg,1.7,2004
Luxembourg,1.9,2005
Luxembourg,1.9,2006
Luxembourg,2.8,2007
Mexico,16.8,1971
Mexico,15.4,1972
Mexico,14.7,1973
Mexico,14.6,1974
Mexico,13.6,1975
Mexico,13.1,1976
Mexico,12.5,1977
Mexico,11.3,1978
Mexico,11.1,1979
Mexico,9.6,1980
Mexico,9.6,1981
Mexico,9.4,1982
Mexico,9.9,1983
Mexico,10,1984
Mexico,10,1985
Mexico,11.4,1986
Mexico,11.7,1987
Mexico,11.7,1988
Mexico,11.5,1989
Mexico,11.4,1990
Mexico,11.2,1991
Mexico,11.5,1992
Mexico,11.7,1993
Mexico,10.6,1994
Mexico,11.7,1995
Mexico,11.6,1996
Mexico,10.9,1997
Mexico,10.6,1998
Mexico,10.7,1999
Mexico,10.8,2000
Mexico,10.3,2001
Mexico,9.6,2002
Mexico,9.6,2003
Mexico,9.8,2004
Mexico,9.7,2005
Mexico,9.5,2006
Mexico,9.3,2007
Netherlands,0,1971
Netherlands,0,1972
Netherlands,0,1973
Netherlands,0,1974
Netherlands,0.3,1975
Netherlands,0.3,1976
Netherlands,0.3,1977
Netherlands,0.4,1978
Netherlands,0.4,1979
Netherlands,0.4,1980
Netherlands,0.3,1981
Netherlands,0.1,1982
Netherlands,0.1,1983
Netherlands,0,1984
Netherlands,0.1,1985
Netherlands,0.2,1986
Netherlands,0.2,1987
Netherlands,0.5,1988
Netherlands,0.6,1989
Netherlands,1.5,1990
Netherlands,1.4,1991
Netherlands,1.5,1992
Netherlands,1.6,1993
Netherlands,1.6,1994
Netherlands,1.7,1995
Netherlands,1.9,1996
Netherlands,2.2,1997
Netherlands,2.3,1998
Netherlands,2.4,1999
Netherlands,2.5,2000
Netherlands,2.6,2001
Netherlands,2.8,2002
Netherlands,2.7,2003
Netherlands,3,2004
Netherlands,3.6,2005
Netherlands,3.8,2006
Netherlands,3.9,2007
New Zealand,32,1971
New Zealand,30,1972
New Zealand,28.7,1973
New Zealand,30.5,1974
New Zealand,34.2,1975
New Zealand,30,1976
New Zealand,28.2,1977
New Zealand,30.9,1978
New Zealand,34.3,1979
New Zealand,35.3,1980
New Zealand,35.5,1981
New Zealand,32.1,1982
New Zealand,33,1983
New Zealand,31.7,1984
New Zealand,28.6,1985
New Zealand,30.3,1986
New Zealand,30.7,1987
New Zealand,30.5,1988
New Zealand,32.6,1989
New Zealand,35.8,1990
New Zealand,35.5,1991
New Zealand,33,1992
New Zealand,34.8,1993
New Zealand,34.1,1994
New Zealand,33.8,1995
New Zealand,31.2,1996
New Zealand,29.6,1997
New Zealand,32,1998
New Zealand,32.2,1999
New Zealand,29.8,2000
New Zealand,27.8,2001
New Zealand,29.7,2002
New Zealand,29.7,2003
New Zealand,31.6,2004
New Zealand,32.1,2005
New Zealand,31.7,2006
New Zealand,32.6,2007
Norway,40.9,1971
Norway,42.2,1972
Norway,44,1973
Norway,46.3,1974
Norway,45.5,1975
Norway,47,1976
Norway,40.6,1977
Norway,42,1978
Norway,45.1,1979
Norway,42.4,1980
Norway,47.7,1981
Norway,48.9,1982
Norway,53.5,1983
Norway,50.9,1984
Norway,48.1,1985
Norway,43.7,1986
Norway,46.4,1987
Norway,50.7,1988
Norway,52.8,1989
Norway,54.5,1990
Norway,48.2,1991
Norway,49.9,1992
Norway,48.1,1993
Norway,46.7,1994
Norway,49.4,1995
Norway,44.3,1996
Norway,44.3,1997
Norway,44.7,1998
Norway,45.5,1999
Norway,52.5,2000
Norway,45,2001
Norway,50.9,2002
Norway,38.8,2003
Norway,38.2,2004
Norway,46.1,2005
Norway,40.1,2006
Norway,48.3,2007
Poland,1.6,1971
Poland,1.8,1972
Poland,1.5,1973
Poland,1.5,1974
Poland,1.5,1975
Poland,1.3,1976
Poland,1.4,1977
Poland,1.2,1978
Poland,1,1979
Poland,1.1,1980
Poland,1.4,1981
Poland,1.2,1982
Poland,1.3,1983
Poland,1.6,1984
Poland,1.6,1985
Poland,2.2,1986
Poland,1.9,1987
Poland,1.9,1988
Poland,2,1989
Poland,2.3,1990
Poland,2.2,1991
Poland,2.3,1992
Poland,4.6,1993
Poland,4.9,1994
Poland,4.8,1995
Poland,4.4,1996
Poland,4.3,1997
Poland,4.6,1998
Poland,4.5,1999
Poland,4.8,2000
Poland,5.1,2001
Poland,5.2,2002
Poland,5.1,2003
Poland,5.3,2004
Poland,5.4,2005
Poland,5.7,2006
Poland,5.7,2007
Portugal,19.6,1971
Portugal,19.6,1972
Portugal,18.4,1973
Portugal,18,1974
Portugal,15.5,1975
Portugal,12.7,1976
Portugal,19,1977
Portugal,18.9,1978
Portugal,17.9,1979
Portugal,14.1,1980
Portugal,11.8,1981
Portugal,12.4,1982
Portugal,13.7,1983
Portugal,14.9,1984
Portugal,16.8,1985
Portugal,14.4,1986
Portugal,14.8,1987
Portugal,16.3,1988
Portugal,15.2,1989
Portugal,19.6,1990
Portugal,19.4,1991
Portugal,15.8,1992
Portugal,17.9,1993
Portugal,18.8,1994
Portugal,16.5,1995
Portugal,18.9,1996
Portugal,17.8,1997
Portugal,16.3,1998
Portugal,13.7,1999
Portugal,15.6,2000
Portugal,16.5,2001
Portugal,14.1,2002
Portugal,17.3,2003
Portugal,15.1,2004
Portugal,13.6,2005
Portugal,17.6,2006
Portugal,18.3,2007
Slovak Republic,2.4,1971
Slovak Republic,2.3,1972
Slovak Republic,1.9,1973
Slovak Republic,2.2,1974
Slovak Republic,2,1975
Slovak Republic,2,1976
Slovak Republic,2.1,1977
Slovak Republic,2,1978
Slovak Republic,1.7,1979
Slovak Republic,1.9,1980
Slovak Republic,1.7,1981
Slovak Republic,1.6,1982
Slovak Republic,1.6,1983
Slovak Republic,1.3,1984
Slovak Republic,1.5,1985
Slovak Republic,1.4,1986
Slovak Republic,1.5,1987
Slovak Republic,1.4,1988
Slovak Republic,1.4,1989
Slovak Republic,1.5,1990
Slovak Republic,1.4,1991
Slovak Republic,1.6,1992
Slovak Republic,3.9,1993
Slovak Republic,4.7,1994
Slovak Republic,4,1995
Slovak Republic,3.9,1996
Slovak Republic,3.9,1997
Slovak Republic,4,1998
Slovak Republic,4.4,1999
Slovak Republic,4.6,2000
Slovak Republic,4.4,2001
Slovak Republic,4.2,2002
Slovak Republic,3.6,2003
Slovak Republic,4.2,2004
Slovak Republic,4.6,2005
Slovak Republic,4.7,2006
Slovak Republic,5.7,2007
Spain,6.5,1971
Spain,6.8,1972
Spain,4.8,1973
Spain,4.7,1974
Spain,3.9,1975
Spain,3,1976
Spain,5.7,1977
Spain,5.4,1978
Spain,6.1,1979
Spain,4.2,1980
Spain,3.2,1981
Spain,3.9,1982
Spain,3.9,1983
Spain,4.5,1984
Spain,4.4,1985
Spain,3.8,1986
Spain,3.8,1987
Spain,4.4,1988
Spain,6,1989
Spain,6.9,1990
Spain,6.6,1991
Spain,5.4,1992
Spain,6.2,1993
Spain,6.3,1994
Spain,5.7,1995
Spain,7.3,1996
Spain,6.5,1997
Spain,6.3,1998
Spain,5.4,1999
Spain,5.8,2000
Spain,6.7,2001
Spain,5.5,2002
Spain,7,2003
Spain,6.5,2004
Spain,6,2005
Spain,6.6,2006
Spain,7.1,2007
Sweden,20.4,1971
Sweden,20.4,1972
